onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
262.5716	264.1168	hc021	17	2	1	2	0.4	0	0	11.375	0	251.1968	262.5716	263.0957	1	264.1168	1.0211	0.00067445	266.0708	n/a
278.3442	279.9881	hc021	18	1	1	1	0.18	0	0	10.5	1	267.8204	278.3442	278.8511	1	279.9881	1.1369	0.00066785	281.8272	n/a
294.0806	295.691	hc021	19	1	1	3	0.74	0	0	10.5	0	283.5768	294.0806	294.5973	1	295.691	1.0937	0.00069424	297.5755	n/a
309.8436	311.7947	hc021	20	3	1	2	0.52	1	0	10.5	1	299.3294	309.8436	310.3435	1	311.7947	1.4512	0.00067225	313.32599999999996	314.5639
324.7067	326.4344	hc021	21	1	1	1	0.34	0	1	9.625	0	315.0756	324.7067	325.2232	1	326.4344	1.2112	0.00067738	328.20599999999996	n/a
341.338	343.0896	hc021	22	3	1	3	0.7	1	0	11.375	1	329.9558	341.338	341.8547	1	343.0896	1.235	0.00066565	344.8376	346.0692
356.2366	357.8254	hc021	23	2	1	2	0.65	0	1	9.625	0	346.5875	356.2366	356.7365	1	357.8254	1.0888	0.00075875	359.7146	n/a
372.8616	374.3922	hc021	24	2	1	2	0.49	1	0	11.375	1	361.4694	372.8616	373.3683	1	374.3922	1.0239	0.00067591	376.344	377.5763
387.7414	389.2316	hc021	25	2	1	2	0.57	0	1	9.625	0	378.0937	387.7414	388.2412	1	389.2316	0.99039	0.00067518	391.2237	n/a
403.4875	405.2474	hc021	26	2	1	1	0.22	1	1	10.5	1	392.9734	403.4875	403.9874	1	405.2474	1.2599	0.00068471	406.9698	408.207
420.1168	421.7823	hc021	27	1	1	2	0.4	1	0	11.375	1	408.7313	420.1168	420.6167	1	421.7823	1.1656	0.0018936	423.5991	424.8365
435.8797	437.8939	hc021	28	2	1	1	0.27	1	0	10.5	1	425.3488	435.8797	436.3796	1	437.8939	1.5144	0.00067078	439.3453	440.591
451.6272	453.2848	hc021	29	1	1	3	0.88	0	0	10.5	1	441.1117	451.6272	452.1272	1	453.2848	1.1577	0.0023408	455.11	n/a
466.5091	468.7886	hc021	30	3	1	1	0.09	1	1	9.625	0	456.86	466.5091	467.009	0	468.7886	1.7796	0.00067298	469.9879	n/a
482.2575	484.1005	hc021	31	3	1	2	0.44	1	1	10.5	1	471.7419	482.2575	482.7575	1	484.1005	1.3430000000000002	0.00067298	485.7405	486.9744
498.8893	500.6993	hc021	32	3	1	3	0.95	1	0	11.375	0	487.4903	498.8893	499.3892	1	500.6993	1.3102	0.00067445	502.3635	503.6021
514.6377	516.2752	hc021	33	2	1	3	0.75	1	0	10.5	1	504.12199999999996	514.6377	515.1438	1	516.2752	1.1314	0.00067298	518.1206	519.3545
530.3901	532.6424	hc021	34	2	1	1	0.06	1	0	10.5	0	519.8759	530.3901	530.8899	1	532.6424	1.7524	0.00067298	533.8724	535.1080000000001
545.268	546.938	hc021	35	2	1	3	0.83	0	1	9.625	0	535.6221	545.268	545.7697	1	546.938	1.1683	0.00067518	548.7521	n/a
561.0164	562.7287	hc021	36	1	1	3	0.66	0	1	10.5	1	550.5019	561.0164	561.5164	1	562.7287	1.2123	0.00067298	564.4994	n/a
576.7649	578.3525	hc021	37	3	2	3	0.84	1	1	10.5	1	566.2493	576.7649	577.2649	1	578.3525	1.0876	0.00067005	580.2477	581.4925
592.5133	594.064	hc021	38	1	2	3	0.93	0	1	10.5	0	582.0143	592.5133	593.0133	1	594.064	1.0507	0.00067811	596.0129	n/a
609.1377	611.375	hc021	39	3	2	1	0.2	1	0	11.375	1	597.7627	609.1377	609.645	1	611.375	1.73	0.00066858	612.6366	613.8724
624.0174	625.7349	hc021	40	3	2	2	0.41	1	1	9.625	1	614.3945	624.0174	624.5269	1	625.7349	1.208	0.00067225	627.5164	628.7504
639.7754	641.4379	hc021	41	1	2	2	0.59	0	1	10.5	1	629.266	639.7754	640.2801	1	641.4379	1.1578	0.00066785	643.2626	n/a
655.5264	657.1338	hc021	42	1	2	3	0.85	0	1	10.5	1	645.0248	655.5264	656.0262	1	657.1338	1.1076	0.00067298	659.0254	n/a
672.1556	673.8372	hc021	43	3	2	3	0.92	1	0	11.375	1	660.775	672.1556	672.6555	1	673.8372	1.1817	0.00067445	675.6383	676.8827
687.0205	689.0843	hc021	44	2	2	3	0.8	0	1	9.625	0	677.405	687.0205	687.5374	1	689.0843	1.5469	0.00067811	690.5203	n/a
702.7982	704.4997	hc021	45	1	2	2	0.37	0	1	10.5	0	692.2702	702.7982	703.2981	1	704.4997	1.2016	0.00067225	706.2807	n/a
718.5342	720.1229	hc021	46	1	2	3	0.8	1	1	10.5	1	708.0351	718.5342	719.0442	1	720.1229	1.0787	0.00068104	722.0338	723.2679
734.2994	735.8346	hc021	47	2	2	2	0.62	0	1	10.5	0	723.7931	734.2994	734.7994	1	735.8346	1.0352	0.00067958	737.7895	n/a
750.0366	752.2977	hc021	48	2	2	1	0.11	1	1	10.5	0	739.5391	750.0366	750.5531	0	752.2977	1.7445	0.00067151	753.5357	n/a
766.6796	768.4013	hc021	49	3	2	2	0.5	1	0	11.375	0	755.2856	766.6796	767.1659	1	768.4013	1.2353	0.00067591	770.165	771.4043
781.5458	783.0168	hc021	50	3	2	2	0.63	1	1	9.625	0	771.9147	781.5458	782.0455	1	783.0168	0.9712799999999999	0.00067078	785.0449	786.2803
798.1765	800.0963	hc021	51	2	2	3	0.89	0	0	11.375	1	786.7945	798.1765	798.6764	1	800.0963	1.4199	0.00066785	801.6759	n/a
